id,license,address,city,county,state,latitude,longitude
39617,Verizon,State Rd. 3017,PUNXSUTAWNEY,JEFFERSON,PA,40.92305556,-78.95833333
39616,Verizon,T.R. 336 Radio Tower Road Off Route 322,UNION,JEFFERSON,PA,41.18394444,-79.16530556
4010,AT&T,Fire Tower Road   (96237),BEDFORD,BEDFORD,PA,40.01313889,-78.55377778
4011,AT&T,PA STATE GAME LANDS #97  (44563),SNAKE TOWNSHIP,BEDFORD,PA,40.00119444,-78.40083333
4012,AT&T,492 MOUNTAIN FARM LANE  (39889),Breezewood,BEDFORD,PA,39.94722222,-78.24238889
4013,AT&T,1231 Narrow Lane   (96233),Bedford,BEDFORD,PA,39.80472222,-78.64611111
4014,AT&T,RD1  Box 220   (113209),IMLER,BEDFORD,PA,40.25775,-78.47008333
39615,Verizon,APPROXIMATELY 1/3 MILE NORTH OF LEGISLATIVE ROUTE 33038,FALLS CREEK,JEFFERSON,PA,41.16630556,-78.81352778
39614,Verizon,Township Road,CLEARFIELD,CLEARFIELD,PA,41.01961111,-78.35644444
39613,Verizon,ON ROUTE 729; 1.5 MILES NORTH OF THE RT. 729,Curwensville,CLEARFIELD,PA,40.94466667,-78.57986111
39612,Verizon,Highway 322,Brookville,JEFFERSON,PA,41.15002778,-79.03186111
39611,Verizon,2172 SKYLINE DR,MARION CENTER,INDIANA,PA,40.73863889,-79.05477778
39610,Verizon,along Rt 322 1 mi W of rt 153,Rockton,CLEARFIELD,PA,41.07611111,-78.55138889
39609,Verizon,3677 Chestnut Ridge Road,BLAIRSVILLE,INDIANA,PA,40.44866667,-79.15730556
24008,Verizon,2 MILES NE OF I/S RT. 61 & TWP HWY 692A,POTTSVILLE,SCHUYLKILL,PA,40.6625,-76.17722222
24561,Verizon,(Rocky Ridge) Cambelback Rd,Jackon township,MONROE,PA,41.04438889,-75.37741667
24556,Verizon,West Mountain Cell Site - 2 mi SW of RTs 307 & 9,Scranton,LACKAWANNA,PA,41.45819444,-75.70222222
24007,Verizon,3/4 MILE N OF I/S SHADE MTN. RD. & S. R. 104,MIDDLEBURG,SNYDER,PA,40.76111111,-77.01916667
46601,AT&T,240 South Turnpike Street (96083),Dushore,SULLIVAN,PA,41.51402778,-76.39708333
46600,AT&T,80 Kevin Lane (113501),Nicholson,WYOMING,PA,41.61205556,-75.77933333
46599,AT&T,Intersection of Route 29 with Route 309 (96081),Vernon,WYOMING,PA,41.45072222,-76.00752778
46598,AT&T,140 Paines Hill Road (96096),Troy,BRADFORD,PA,41.78072222,-76.78163889
46597,AT&T,92 Bergamen Drive (99107),Gransville Summit,BRADFORD,PA,41.75797222,-76.63058333
24006,Verizon,3.7 MI ENE OF SR 147 & BOILE RUN,SUNBURY,NORTHUMBERLAND,PA,40.77094444,-76.76994444
14413,Verizon,605 Piney Mtn. Ridge,Fayetteville,ADAMS,PA,39.90586111,-77.45080556
14411,Verizon,844 Old Common Rd.,Bittersville,YORK,PA,39.93472222,-76.54888889
14409,Verizon,(Hanover) 752 High Rock Rd,Hanover,YORK,PA,39.85872222,-76.94913889
39057,Verizon,1389 Rt 830,BROOKVILLE,JEFFERSON,PA,41.15002778,-79.03186111
39056,Verizon,RD # 1  REILLY HOLLOW ROAD & WMRF,SMETHPORT,MCKEAN,PA,41.81025,-78.38436111
39055,Verizon,May Hollow Road,EMPORIUM,CAMERON,PA,41.49155556,-78.25502778
39054,Verizon,Mountain Church Road,Brockport,ELK,PA,41.26191667,-78.69694444
39053,Verizon,Niles Hollow Road and Song,Custer city,MCKEAN,PA,41.91652778,-78.66338889
39052,Verizon,CLEARVIEW DRIVE ON  RTE 219:  2 MILES N OF INTERSECTION  OF,RIDGEWAY,ELK,PA,41.40952778,-78.70155556
39608,Verizon,Kylertown Allport Bigler Road,Morrisdale,CLEARFIELD,PA,40.98291667,-78.23561111
39607,Verizon,205 Sunset Road,Carrolltown,CAMBRIA,PA,40.614,-78.70469444
39606,Verizon,Mountain Church Road,BROCKPORT,ELK,PA,41.26191667,-78.69694444
39051,Verizon,State Rt 4009 off Kane Lamont,LAMONT,ELK,PA,41.61766667,-78.80338889
30271,AT&T,260 DEAD END ROAD (67207),LITITZ,LANCASTER,PA,40.23277778,-76.35411111
24005,Verizon,ATOP KNOB MOUNTAIN 1.4 MILES SE OF,FORKS,COLUMBIA,PA,41.09572222,-76.34433333
24004,Verizon,(Frailey site) 2201 Shermans Mtn Road,Frailey,SCHUYLKILL,PA,40.65986111,-76.38747222
24002,Verizon,19088 Route 522,Beaver Springs,SNYDER,PA,40.75125,-77.2065
24001,Verizon,DEER LAKE CELL SITE-2 MILES NW FROM I/S OF MOUNTAIN RD. & DREHERSVILLE RD.,DEER LAKE,SCHUYLKILL,PA,40.62827778,-76.04213889
23999,Verizon,2 MI NW OF SRS 1014 & 818,MAHNOY,SCHUYLKILL,PA,40.84861111,-76.11333333
23998,Verizon,(Tamaqua)2 MILES SE OF I/S RT. 209 & RT. 309,TAMAQUA,SCHUYLKILL,PA,40.79213889,-75.95822222
39605,Verizon,State Rd. 3017,PUNXSUTAWNEY,JEFFERSON,PA,40.92305556,-78.95833333
39604,Verizon,T.R. 336 Radio Tower Road Off Route 322,UNION,JEFFERSON,PA,41.18394444,-79.16530556
39603,Verizon,APPROXIMATELY 1/3 MILE NORTH OF LEGISLATIVE ROUTE 33038,FALLS CREEK,JEFFERSON,PA,41.16630556,-78.81352778
23997,Verizon,1 MI N OF I-81 & SR 209,KEFFERS,SCHUYLKILL,PA,40.60836111,-76.46280556
23996,Verizon,2 MI SW OF SR 443 & I-81,Pine Grove,SCHUYLKILL,PA,40.51775,-76.43986111
23995,Verizon,2 MILES NE OF I/S RT. 61 & TWP HWY 692A,POTTSVILLE,SCHUYLKILL,PA,40.6625,-76.17722222
30270,AT&T,7060 DIVISION HIGHWAY (51124),NARVON,LANCASTER,PA,40.10683333,-75.9515
788,Verizon,Mercersburg Site 11900 Buchanan Trail West (PA13371-A),Mercersburg,FRANKLIN,PA,39.83594444,-77.90794444
23994,Verizon,3/4 MILE N OF I/S SHADE MTN. RD. & S. R. 104,MIDDLEBURG,SNYDER,PA,40.76111111,-77.01916667
30268,AT&T,2731 SWAMP ROAD (2171),Morgantown,LANCASTER,PA,40.16769444,-75.92219444
13804,AT&T,2935 TOWER HILL ROAD,SOUTH KINGSTOWN,WASHINGTON,RI,41.49816667,-71.45863889
13806,AT&T,Minturn Rd,BRISTOL,BRISTOL,RI,41.67780556,-71.25638889
13811,AT&T,7 Falco Circle,Westerly,WASHINGTON,RI,41.38972222,-71.81972222
9869,Verizon,BEACON POLE HILL OFF OF TOWER HILL ROAD,CUMBERLAND,PROVIDENCE,RI,41.99508333,-71.44783333
13813,AT&T,2760 Wallem Lake Rd,Burrillville,PROVIDENCE,RI,42.00908333,-71.75591667
9862,Verizon,575 NOOSENECK HILL ROAD,EXETER,WASHINGTON,RI,41.56427778,-71.66088889
9863,Verizon,ROUTE 1,SOUTH KINGSTON,WASHINGTON,RI,41.49677778,-71.45866667
9864,Verizon,Main Street at Bumpin Hill Road,Westerly,WASHINGTON,RI,41.40502778,-71.83880556
6961,AT&T,2154 W MAIN RD (2369),PORTSMOUTH,NEWPORT,RI,41.56230556,-71.28538889
9868,Verizon,South of Ocean Ave.  0.8 km east of Beach Ave.  Washington County,New Shoreham,WASHINGTON,RI,41.17444444,-71.57166667
6960,AT&T,838 E. MAIN ROAD (2361),PORTSMOUTH,NEWPORT,RI,41.55769444,-71.25666667
6962,AT&T,45 CRANDALL ROAD (24919),TIVERTON,NEWPORT,RI,41.624,-71.14769444
9865,Verizon,(Warren site) 66.5 Market St.,WARREN,BRISTOL,RI,41.74233333,-71.27061111
13805,AT&T,247 North Road,Hopkington,WASHINGTON,RI,41.49472222,-71.78444444
6958,AT&T,15 WICKHAM RD (97427),Newport,NEWPORT,RI,41.46777778,-71.32027778
9866,Verizon,CHOPMIST HILL RD,NORTH SCITUATE,PROVIDENCE,RI,41.82969444,-71.67
9867,Verizon,47 Terry Lane,Chepachet,PROVIDENCE,RI,41.90122222,-71.64477778
13815,AT&T,54 Algonquin Lane,Burrillville,PROVIDENCE,RI,41.96658333,-71.75541667
6957,AT&T,122 Amy Hart Path (98449),Little Compton,NEWPORT,RI,41.54575,-71.14438889
44749,Verizon,2300 E. Main Road,PORTSMOUTH,NEWPORT,RI,41.59305556,-71.25516667
13812,AT&T,401 Walcott Ave,Pawtucket,PROVIDENCE,RI,41.87766667,-71.36591667
13810,AT&T,212 Hartford Pike,Foster,PROVIDENCE,RI,41.852,-71.77913889
13809,AT&T,95 Sayle Hill Rd,North Smithfield,PROVIDENCE,RI,41.97136111,-71.51513889
13808,AT&T,280 Victory Hwy,West Greenwich,KENT,RI,41.63961111,-71.68725
13807,AT&T,100 Ocean Ave,New Shoreham,WASHINGTON,RI,41.17444444,-71.57166667
