id,license,address,city,county,state,latitude,longitude
1220,Verizon,12519 COLD SPRING ROAD,Waynesboro,FRANKLIN,PA,39.75563889,-77.60947222
1221,AT&T,2514 Delta Road   (111629),Brogue,YORK,PA,39.86613889,-76.46797222
1222,AT&T,30 E. High Street   (104522),New Freedom,YORK,PA,39.73516667,-76.70352778
1223,AT&T,775 BLUBAUCH RD (280951),Confluence,SOMERSET,PA,39.80019444,-79.36
1224,AT&T,ENGLES MILL ROAD (107379),Salisbury,SOMERSET,PA,39.75380556,-79.07544444
1225,AT&T,HEMLOCK STREET (83325),GALLITZIN,CAMBRIA,PA,40.48969444,-78.54675
1226,AT&T,152 WEST POSEY ROAD   (4426),Airville,YORK,PA,39.83527778,-76.42630556
1227,AT&T,1579 POTTER RUN ROAD   (43305),Volant,LAWRENCE,PA,41.10663889,-80.23211111
1228,AT&T,Mt. Air Rd.   (40472),Enon Valley,LAWRENCE,PA,40.90455556,-80.44738889
1229,Verizon,.2 MI NE,CLAYSVILLE,WASHINGTON,PA,40.11777778,-80.4225
1230,Verizon,RT. 819 AND BELL POINT ROAD,APOLLO,WESTMORELAND,PA,40.53416667,-79.53361111
1231,Verizon,6201 FREEPORT ROAD,FREEPORT,ALLEGHENY,PA,40.66583333,-79.69972222
1232,Verizon,2 MI AT 90 DEG FROM,DARLINGTON,BEAVER,PA,40.80194444,-80.28611111
1233,AT&T,1128 South Main Street   (43311),Bessemer,LAWRENCE,PA,40.95841667,-80.49325
1234,AT&T,1190 SLATE POINT RD   (43315),Ford City,ARMSTRONG,PA,40.66183333,-79.51522222
1235,AT&T,RD 1 BOX 291 AHN 4 WAMPURN MOUNT AIR RD   (43314),New Galilee,LAWRENCE,PA,40.8885,-80.38025
1236,AT&T,248 & 1/2 HIGH HILL ROAD   (42097),Pulaski,LAWRENCE,PA,41.11894444,-80.44522222
1237,AT&T,Girty Road  (96115),Shelocta,ARMSTRONG,PA,40.70061111,-79.37177778
1238,AT&T,Whitesell Road (113566),Home,INDIANA,PA,40.78952778,-79.16316667
1239,AT&T,122 LINCOLN HWY (79924),Boswell,SOMERSET,PA,40.18091667,-79.12927778
1240,Verizon,GOODHILL RD,TEN MILE,WASHINGTON,PA,40.00902778,-80.17569444
1241,Verizon,(Bald Eagle) 4 MILES NORTH OF INT. OF RT. 554 & SKYLINE D,SOUTH WILLIAMSPORT,LYCOMING,PA,41.21302778,-76.95325
1242,Verizon,811 Old Fort Road,Jersey Shore,LYCOMING,PA,41.19077778,-77.23575
1243,Verizon,1 MILE NW OF I/S TRUMAN RUN RD. & RT. 414,CAMMAL,LYCOMING,PA,41.435,-77.41455556
1244,Verizon,3 MILES SW OF I/S HAGERMAN RD. & RT. 14,TROUT RUN,LYCOMING,PA,41.40438889,-77.05441667
1245,Verizon,1 MI  N RT 118 E OF WINSTON RD.,HUGHESVILLE,LYCOMING,PA,41.23305556,-76.67505556
1246,AT&T,1088 Sunshine Avenue (83324),Central City,SOMERSET,PA,40.11391667,-78.79813889
1247,AT&T,361 Tower Road. (106157),Summerhill,CAMBRIA,PA,40.41077778,-78.77397222
1248,Verizon,FREEMAN FALLS ROAD; 3 MILES E OF MOUNT PLEASANT,MOUNT PLEASANT,WESTMORELAND,PA,40.15047222,-79.43516667
1249,Verizon,ROUTE 475,HUSTONTOWN,FULTON,PA,40.04133333,-78.00063889
1250,Verizon,R.D. 2  ROUTE 484 (I-70),Warfordsburg,FULTON,PA,39.76461111,-78.23047222
1251,AT&T,Route 739 & Dark Swamp Rd (103776),Dingmans Ferry,PIKE,PA,41.28266667,-74.93486111
1252,Verizon,16765 TIMMONS RD,SPRING RUN,FRANKLIN,PA,40.11608333,-77.74972222
1253,Verizon,137A LINDENCAMP LANE,PEACH BOTTOM,LANCASTER,PA,39.79391667,-76.17716667
1254,Verizon,Bendersville 750 Potato Road,Aspers,ADAMS,PA,39.96847222,-77.26763889
1255,AT&T,634 ROUTE 6 (83435),SHOHOLA,PIKE,PA,41.36016667,-74.89102778
1256,AT&T,146 West Carbondale Road (44135),Waymart,WAYNE,PA,41.57316667,-75.44088889
